C:\Users\xbbj5x6\apps\jdk180u131\bin\java -ea -Dbuild.properties.relative.path=C:\Users\xbbj5x6\ossdev\pgjdbc\pgjdbc/.. -Didea.test.cyclic.buffer.size=1048576 -javaagent:C:\Users\xbbj5x6\apps\ideaIU-2017.1.2.win\lib\idea_rt.jar=64494:C:\Users\xbbj5x6\apps\ideaIU-2017.1.2.win\bin -Dfile.encoding=UTF-8 -classpath C:\Users\xbbj5x6\apps\ideaIU-2017.1.2.win\lib\idea_rt.jar;C:\Users\xbbj5x6\apps\ideaIU-2017.1.2.win\plugins\junit\lib\junit-rt.jar;C:\Users\xbbj5x6\apps\jdk180u131\jre\lib\charsets.jar;C:\Users\xbbj5x6\apps\jdk180u131\jre\lib\deploy.jar;C:\Users\xbbj5x6\apps\jdk180u131\jre\lib\ext\access-bridge-64.jar;C:\Users\xbbj5x6\apps\jdk180u131\jre\lib\ext\cldrdata.jar;C:\Users\xbbj5x6\apps\jdk180u131\jre\lib\ext\dnsns.jar;C:\Users\xbbj5x6\apps\jdk180u131\jre\lib\ext\jaccess.jar;C:\Users\xbbj5x6\apps\jdk180u131\jre\lib\ext\jfxrt.jar;C:\Users\xbbj5x6\apps\jdk180u131\jre\lib\ext\localedata.jar;C:\Users\xbbj5x6\apps\jdk180u131\jre\lib\ext\nashorn.jar;C:\Users\xbbj5x6\apps\jdk180u131\jre\lib\ext\sunec.jar;C:\Users\xbbj5x6\apps\jdk180u131\jre\lib\ext\sunjce_provider.jar;C:\Users\xbbj5x6\apps\jdk180u131\jre\lib\ext\sunmscapi.jar;C:\Users\xbbj5x6\apps\jdk180u131\jre\lib\ext\sunpkcs11.jar;C:\Users\xbbj5x6\apps\jdk180u131\jre\lib\ext\zipfs.jar;C:\Users\xbbj5x6\apps\jdk180u131\jre\lib\javaws.jar;C:\Users\xbbj5x6\apps\jdk180u131\jre\lib\jce.jar;C:\Users\xbbj5x6\apps\jdk180u131\jre\lib\jfr.jar;C:\Users\xbbj5x6\apps\jdk180u131\jre\lib\jfxswt.jar;C:\Users\xbbj5x6\apps\jdk180u131\jre\lib\jsse.jar;C:\Users\xbbj5x6\apps\jdk180u131\jre\lib\management-agent.jar;C:\Users\xbbj5x6\apps\jdk180u131\jre\lib\plugin.jar;C:\Users\xbbj5x6\apps\jdk180u131\jre\lib\resources.jar;C:\Users\xbbj5x6\apps\jdk180u131\jre\lib\rt.jar;C:\Users\xbbj5x6\ossdev\pgjdbc\pgjdbc\target\test-classes;C:\Users\xbbj5x6\ossdev\pgjdbc\pgjdbc\target\classes;C:\Users\xbbj5x6\.m2\repository\junit\junit\4.12\junit-4.12.jar;C:\Users\xbbj5x6\.m2\repository\org\hamcrest\hamcrest-core\1.3\hamcrest-core-1.3.jar;C:\Users\xbbj5x6\.m2\repository\se\jiderhamn\classloader-leak-test-framework\1.1.1\classloader-leak-test-framework-1.1.1.jar;C:\Users\xbbj5x6\.m2\repository\org\apache\bcel\bcel\6.0\bcel-6.0.jar;C:\Users\xbbj5x6\.m2\repository\com\github\dblock\waffle\waffle-jna\1.7.5\waffle-jna-1.7.5.jar;C:\Users\xbbj5x6\.m2\repository\net\java\dev\jna\jna\4.2.1\jna-4.2.1.jar;C:\Users\xbbj5x6\.m2\repository\net\java\dev\jna\jna-platform\4.2.1\jna-platform-4.2.1.jar;C:\Users\xbbj5x6\.m2\repository\org\slf4j\jcl-over-slf4j\1.7.12\jcl-over-slf4j-1.7.12.jar;C:\Users\xbbj5x6\.m2\repository\org\osgi\org.osgi.enterprise\4.2.0\org.osgi.enterprise-4.2.0.jar;C:\Users\xbbj5x6\.m2\repository\org\osgi\org.osgi.core\4.3.1\org.osgi.core-4.3.1.jar com.intellij.rt.execution.junit.JUnitStarter -ideVersion5 tmp.DriverTest,test
TYPE_NAME=bool, DATA_TYPE=-7, SQL_TYPE=BIT
TYPE_NAME=bit, DATA_TYPE=-7, SQL_TYPE=BIT
TYPE_NAME=int8, DATA_TYPE=-5, SQL_TYPE=BIGINT
TYPE_NAME=bigserial, DATA_TYPE=-5, SQL_TYPE=BIGINT
TYPE_NAME=oid, DATA_TYPE=-5, SQL_TYPE=BIGINT
TYPE_NAME=bytea, DATA_TYPE=-2, SQL_TYPE=BINARY
TYPE_NAME=char, DATA_TYPE=1, SQL_TYPE=CHAR
TYPE_NAME=bpchar, DATA_TYPE=1, SQL_TYPE=CHAR
TYPE_NAME=numeric, DATA_TYPE=2, SQL_TYPE=NUMERIC
TYPE_NAME=int4, DATA_TYPE=4, SQL_TYPE=INTEGER
TYPE_NAME=serial, DATA_TYPE=4, SQL_TYPE=INTEGER
TYPE_NAME=int2, DATA_TYPE=5, SQL_TYPE=SMALLINT
TYPE_NAME=float4, DATA_TYPE=7, SQL_TYPE=REAL
TYPE_NAME=float8, DATA_TYPE=8, SQL_TYPE=DOUBLE
TYPE_NAME=money, DATA_TYPE=8, SQL_TYPE=DOUBLE
TYPE_NAME=name, DATA_TYPE=12, SQL_TYPE=VARCHAR
TYPE_NAME=text, DATA_TYPE=12, SQL_TYPE=VARCHAR
TYPE_NAME=varchar, DATA_TYPE=12, SQL_TYPE=VARCHAR
TYPE_NAME=date, DATA_TYPE=91, SQL_TYPE=DATE
TYPE_NAME=time, DATA_TYPE=92, SQL_TYPE=TIME
TYPE_NAME=timetz, DATA_TYPE=92, SQL_TYPE=TIME
TYPE_NAME=timestamp, DATA_TYPE=93, SQL_TYPE=TIMESTAMP
TYPE_NAME=timestamptz, DATA_TYPE=93, SQL_TYPE=TIMESTAMP
TYPE_NAME=int2vector, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=regproc, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=tid, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=xid, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=cid, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=oidvector, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=json, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=pg_node_tree, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=pg_ddl_command, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=smgr, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=point, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=lseg, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=path, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=box, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=polygon, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=line, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=abstime, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=reltime, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=tinterval, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=unknown, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=circle, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=macaddr, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=inet, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=cidr, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=aclitem, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=interval, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=varbit, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=regprocedure, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=regoper, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=regoperator, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=regclass, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=regtype, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=regrole, DATA_TYPE=1111, SQL_TYPE=OTHER
TYPE_NAME=regnamespace, DATA_TYPE=1111, SQL_TYPE=OTHER
